car_model,review_count,外观设计_performance,外观设计_importance,外观设计_mention_rate,内饰质感_performance,内饰质感_importance,内饰质感_mention_rate,智能配置_performance,智能配置_importance,智能配置_mention_rate,空间实用_performance,空间实用_importance,空间实用_mention_rate,舒适体验_performance,舒适体验_importance,舒适体验_mention_rate,操控性能_performance,操控性能_importance,操控性能_mention_rate,续航能耗_performance,续航能耗_importance,续航能耗_mention_rate,价值认知_performance,价值认知_importance,价值认知_mention_rate
10小米SU7 Ultra,6,0.08023763820528984,0.12394536827379321,0.6666666666666666,0.11456496268510818,0.1235126988476571,0.3333333333333333,0.15786337082584698,0.14390585113287277,0.5,0.11566528677940369,0.1363197138612862,0.16666666666666666,0.14503311117490134,0.08957699352438092,0.5,0.11884451337434626,0.1508429842652552,1.0,0.12964189052581787,0.14402122964650907,0.16666666666666666,0.10811246633529663,0.08787516044824553,0.5
11智界S7,64,0.1044552054918856,0.12394536827379321,0.84375,0.11682638066652273,0.1235126988476571,0.78125,0.11266873159916233,0.14390585113287277,0.90625,0.10642653040942968,0.1363197138612862,0.796875,0.11221618095510884,0.08957699352438092,0.59375,0.11277734916566477,0.1508429842652552,0.875,0.12312527401425837,0.14402122964650907,0.59375,0.11707058616222873,0.08787516044824553,0.484375
12享界S9,27,0.10886558170063647,0.12394536827379321,0.8518518518518519,0.10173970278720934,0.1235126988476571,0.9629629629629629,0.11566931039130009,0.14390585113287277,0.8888888888888888,0.10042754789220805,0.1363197138612862,0.8518518518518519,0.09321581652544253,0.08957699352438092,0.7777777777777778,0.11021820122748154,0.1508429842652552,0.7777777777777778,0.11204935731610867,0.14402122964650907,0.5555555555555556,0.09204213817914327,0.08787516044824553,0.48148148148148145
13极氪001,1197,0.11151580287435689,0.12394536827379321,0.8020050125313283,0.09804530965059015,0.1235126988476571,0.670843776106934,0.10191116648175133,0.14390585113287277,0.8905597326649958,0.10995172383147464,0.1363197138612862,0.7109440267335004,0.10133161297247595,0.08957699352438092,0.5664160401002506,0.11067545078988751,0.1508429842652552,0.8755221386800334,0.11269619532480098,0.14402122964650907,0.8412698412698413,0.11104452354396052,0.08787516044824553,0.45112781954887216
14极氪007,250,0.11214121332690556,0.12394536827379321,0.66,0.10549481728648612,0.1235126988476571,0.72,0.10548053217718593,0.14390585113287277,0.772,0.11113274309940378,0.1363197138612862,0.692,0.08548256354801582,0.08957699352438092,0.44,0.10566103586121696,0.1508429842652552,0.856,0.1140526459426811,0.14402122964650907,0.8,0.11666581843107467,0.08787516044824553,0.42
15宝马i5  M60,2,0.10986277461051941,0.12394536827379321,0.5,0.060717880725860596,0.1235126988476571,0.5,0.5,0.14390585113287277,0.0,0.0310288667678833,0.1363197138612862,0.5,0.20715677738189697,0.08957699352438092,0.5,0.11974311247467995,0.1508429842652552,1.0,0.06567693750063579,0.14402122964650907,0.5,0.0640287771821022,0.08787516044824553,0.5
16宝马i7 M70,16,0.09762781545568527,0.12394536827379321,0.75,0.0916190925708487,0.1235126988476571,0.6875,0.11613480693735985,0.14390585113287277,0.875,0.12580350092439738,0.1363197138612862,0.75,0.10781640716088124,0.08957699352438092,0.8125,0.11695574192553997,0.1508429842652552,0.8125,0.08724644509228793,0.14402122964650907,0.6875,0.1430621019431523,0.08787516044824553,0.4375
17奔驰EQE53 AMG,3,0.05785733461380005,0.12394536827379321,0.6666666666666666,0.088602215051651,0.1235126988476571,0.3333333333333333,0.07258386413256328,0.14390585113287277,0.3333333333333333,0.0846414566040039,0.1363197138612862,0.3333333333333333,0.1319059431552887,0.08957699352438092,0.3333333333333333,0.08408327039444086,0.1508429842652552,1.0,0.10420549660921097,0.14402122964650907,0.6666666666666666,0.5,0.08787516044824553,0.0
18奔驰EQS580,49,0.10991504726161072,0.12394536827379321,0.7959183673469388,0.08788836729648036,0.1235126988476571,0.9183673469387755,0.1177013774182435,0.14390585113287277,0.7346938775510204,0.09817212901213025,0.1363197138612862,0.7755102040816326,0.09231200812177526,0.08957699352438092,0.6530612244897959,0.11589550509626205,0.1508429842652552,0.8775510204081632,0.09758421160990284,0.14402122964650907,0.5102040816326531,0.1024913296340004,0.08787516044824553,0.42857142857142855
19奥迪e-tron GT,1,0.14381197094917297,0.12394536827379321,1.0,0.11791206002235413,0.1235126988476571,1.0,0.5,0.14390585113287277,0.0,0.013104408979415894,0.1363197138612862,1.0,0.07201963663101196,0.08957699352438092,1.0,0.06061732769012451,0.1508429842652552,1.0,0.5,0.14402122964650907,0.0,0.5,0.08787516044824553,0.0
